FirstName,LastName,Title,Address,City,Province,PostalCode,Employee Number,Phone Number,Email
John,Smith,CEO,444 West Elm Street,Vancouver,BC,V9K 4B7,2121,604-999-5542,jsmith@tmc.com
Mary,Lewis,HR Manager,343 East Garnet Ave,Burnaby,BC,V3T 4R9,1311,604-333-4567,mlewis@tmc.com
Cody,Thompson,Chief Engineer,564 Begbie Way,Revelstoke,BC,V8T 4J5,2122,878-673-5532,cthompson@tmc.com
Alex,Jackson,Chief Surveyor,563 Begbie Way,Revelstoke,BC,V8T 4J8,2123,878-673-5532,ajackson@tmc.com
Jana,Martins,Administration,676 Northroad Drive,Calgary,AB,V5T 4Q8,2125,605-676-4564,jmartins@tmc.com
Nancy,Coleman,Accountant,453 Cooper Lane,Surrey,BC,V6R 2T1,2454,604-676-3433,ncoleman@tmc.com
Jackie,Vadder,Graphic Designer,444 West Elm Street,Vancouver,BC,V5K 4B7,2456,604-999-5543,jvadder@tmc.com
Carol,Harper,Geologist,676 Blackrock Ave,Vancouver,BC,V5Q 8T4,2563,604-556-9786,charper@tmc.com
George,Walters,Geologist,454 Jade Ave,Revelstoke,BC,V6T 5T8,2453,604-567-3433,gwalters@tmc.com
Jason,Cruz,Mine Manager,454 Jade Ave,Revelstoke,BC,V6T 5T8,5655,676-909-7878,jcruz@tmc.com
Gordy,Barker,Safety Officer,454 Jade Ave,Revelstoke,BC,V6T 5T8,1124,778-668-5653,gbarker@tmc.com
Philippe,Pétain,Prospector,343 Bluemud Drive,Revelstoke,BC,V5Q 9T4,4456,778-999-5651,ppetain@tmc.com
